fire Name,NER Name Extracted
"KNF Lightning September 5, 2019","('Klamath National Forest', 'LOCATION'), ('Happy CampOak Knoll District', 'ORGANIZATION'), ('Kidder', 'ORGANIZATION'), ('Lime', 'LOCATION')"
R-6 Fire,"('Susanville', 'LOCATION'), ('Calif', 'LOCATION')"
Kidder 2 Fire,"('Kidder', 'ORGANIZATION'), ('Marble Mountain Wilderness', 'LOCATION'), ('Yreka', 'LOCATION'), ('SalmonScott River Ranger District', 'LOCATION'), ('CA', 'LOCATION'), ('Fort Jones', 'LOCATION')"
South Fire,
Bodine 1 Fire,"('Texas A & M Forest Service', 'ORGANIZATION'), ('Colorado City VFD', 'LOCATION'), ('Mitchell county', 'LOCATION'), ('Mitchell County', 'LOCATION'), ('Bodine', 'PERSON'), ('Merkel Task Force', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Colorado City', 'LOCATION')"
Telephone Fire,
Middle Fire,"('Trinity Alps Wilderness', 'LOCATION'), ('Ripstein Campground', 'PERSON'), ('Canyon Creek Trailhead', 'LOCATION'), ('Canyon Creek Falls', 'LOCATION')"
Lime Fire,"('Klamath National Forest Type', 'ORGANIZATION'), ('Kidder Creek Trail', 'ORGANIZATION'), ('Kidder', 'ORGANIZATION'), ('Marble Mountain Wilderness', 'LOCATION'), ('Yreka', 'LOCATION'), ('SalmonScott River Ranger District', 'LOCATION'), ('Highway 96', 'LOCATION'), ('Cottonwood Peak', 'LOCATION'), ('Incident Management Team', 'ORGANIZATION'), ('Fort Jones', 'LOCATION'), ('Pacific Crest Trail', 'LOCATION'), ('Joshua', 'PERSON'), ('Lime', 'LOCATION')"
Klamath NF Winter RX Burning,"('Thompson', 'PERSON'), ('Creek', 'LOCATION'), ('Goosenest Mountain.East Fork of Elk Creek', 'LOCATION'), ('Tennant', 'LOCATION'), ('Fryingpan Creek', 'LOCATION'), ('Bray', 'LOCATION'), ('Scott River Fire Division', 'ORGANIZATION'), ('Brown', 'PERSON'), ('Garner Butte', 'PERSON'), ('Scott Bar Mill Creek', 'LOCATION'), ('Sawyers Bar ( Mud Lake', 'LOCATION'), ('First Creek', 'LOCATION'), ('Brandon Dethlefs', 'PERSON'), ('Sawyers Bar ( Cherry Creek', 'LOCATION'), ('Baldy Mountain Look Out', 'LOCATION'), ('SalmonScott River Ranger District', 'LOCATION'), ('Tennant', 'PERSON'), ('Sawyer', 'PERSON'), ('Jack ( Jackson', 'PERSON'), ('US Forest Service', 'ORGANIZATION'), ('Ron McEwen', 'PERSON'), ('Grass Lake Rest Area.Jones Area - Goosenest Ranger District', 'LOCATION'), ('CA.Van Bremmer - Goosenest Ranger District', 'LOCATION'), ('CA', 'LOCATION'), ('China Grade Road.Old State Highway - Goosenest Ranger District', 'LOCATION'), ('Garner Mountain', 'LOCATION'), ('Goosenest Ranger District', 'LOCATION'), ('Elk Creek', 'LOCATION'), ('Jones Beach', 'LOCATION'), ('Uncle Sam', 'PERSON'), ('Doolittle', 'PERSON'), ('Deadwood Baldy Peak', 'LOCATION'), ('Singleton Creek', 'LOCATION'), ('Honda', 'ORGANIZATION'), ('Matt Watson', 'PERSON'), ('Scott Bar Mountain', 'LOCATION'), ('Cecilville', 'LOCATION'), ('Petersburg Guard Station', 'LOCATION'), ('Fort Jones', 'LOCATION'), ('piles.Old State Highway - Goosenest Ranger District', 'LOCATION'), ('Steamboat Gulch', 'PERSON'), ('Long Prairie Road', 'LOCATION'), ('Sugar Creek – Scott River', 'LOCATION'), ('Camp Eden', 'LOCATION'), ('Tennant.Old State Highway - Goosenest Ranger District', 'LOCATION'), ('Petersburg Unit', 'ORGANIZATION'), ('Lodgepole Station', 'LOCATION'), ('Grass Lake', 'LOCATION'), ('Rainbow', 'LOCATION'), ('Goosenest Mountain', 'LOCATION'), ('South Fork of Indian Creek', 'LOCATION'), ('Josh Schmalenberger', 'PERSON'), ('Shafter', 'LOCATION'), ('First Creek', 'ORGANIZATION'), ('Pacific Southwest Region', 'LOCATION')"
Power Ranch Fire,"('Sutton county', 'LOCATION')"
