fire Name,NER Name Extracted
Laura 2 Fire,"('Lassen County', 'LOCATION'), ('Laura', 'ORGANIZATION'), ('Fort Sage OHV Area', 'LOCATION'), ('Bureau of Land Management Fort Sage Off Highway Vehicle Recreation Area', 'ORGANIZATION'), ('Doyle', 'LOCATION')"
Mountain View Fire,"('Mono County', 'LOCATION'), ('Mono County Public Information office', 'ORGANIZATION'), ('Mountain View', 'LOCATION'), ('Antelope Valley', 'LOCATION'), ('Walker General Store', 'ORGANIZATION'), ('Bureau of Land Management', 'ORGANIZATION'), ('Meadow Cliff Lodge', 'ORGANIZATION'), ('Humboldt-Toiyabe National Forest and Antelope Valley Fire Department', 'ORGANIZATION')"
Fort Wolters Prescribed Fire,"('Parker County Texas', 'LOCATION'), ('Fort Wolters north west of Mineral Wells', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION')"
Klamath NF RX Burning 2020/2021,"('Forest', 'LOCATION'), ('SalmonScott River', 'LOCATION'), ('Klamath National Forest', 'ORGANIZATION')"
Bond Fire,"('Silverado Canyon', 'LOCATION'), ('Orange County', 'LOCATION')"
Canyon Wildfire,
CalWood and Lefthand Post-Fire BAER,"('BAER', 'ORGANIZATION'), ('BAER', 'PERSON')"
Mesa Fire,"('Kern County Fire Department', 'ORGANIZATION'), ('Mountain Mesa', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Mesa', 'LOCATION'), ('Mobile Home Park', 'LOCATION'), ('Kern County', 'LOCATION'), ('Kern County Sheriff', 'ORGANIZATION'), ('IC', 'LOCATION'), ('Kernville', 'LOCATION'), ('Weston Gaul', 'PERSON'), ('IC Sollami', 'ORGANIZATION'), ('CHP', 'ORGANIZATION')"
Left Field Fire,"('Forest Service', 'ORGANIZATION'), ('Childress County', 'LOCATION'), ('Texas', 'LOCATION')"
2021 Humboldt-Toiyabe Initial Attack,"('Bristlecone Trail', 'LOCATION'), ('Carson Ranger', 'PERSON'), ('Air Attack', 'ORGANIZATION'), ('Topaz lake', 'LOCATION'), ('Hwy 395', 'LOCATION'), ('Flagstaff Canyon', 'LOCATION'), ('Pinion Juniper', 'LOCATION'), ('Fay Luther Canyon', 'PERSON'), ('Burnside Rd', 'PERSON'), ('California', 'LOCATION'), ('Bearpaw Mountain', 'LOCATION'), ('Gardnerville', 'LOCATION'), ('InciWeb', 'ORGANIZATION'), ('Lovell Fires', 'ORGANIZATION'), ('Lovell', 'PERSON'), ('Garson Rd', 'LOCATION'), ('Single Engine Air Tankers', 'ORGANIZATION'), ('Bridgeport Ranger District', 'LOCATION'), ('Bastian Springs', 'LOCATION'), ('Highway 88', 'LOCATION'), ('Gabbs', 'LOCATION'), ('Jones Creek', 'PERSON'), ('Jarbidge', 'LOCATION'), ('Lee Canyon', 'LOCATION'), ('CA', 'LOCATION'), ('Mono Lake Vista Point', 'LOCATION'), ('Poore Lake', 'LOCATION'), ('Markleeville', 'LOCATION'), ('Jacks Valley', 'LOCATION'), ('Hoover Wilderness', 'LOCATION'), ('Lovell', 'ORGANIZATION'), ('Sonora Junction', 'LOCATION'), ('Cottonwood Canyon', 'LOCATION'), ('Hawkins Creek', 'LOCATION'), ('Austin', 'LOCATION'), ('Jack', 'PERSON'), ('Verdi', 'LOCATION'), ('Mount Charleston Wilderness', 'LOCATION'), ('Garson', 'PERSON'), ('Mono Lake', 'LOCATION'), ('Jacks Valley Road', 'LOCATION'), ('Fay Luther Canyon', 'LOCATION'), ('Galena Creek Visitor Center', 'LOCATION'), ('Pole', 'LOCATION'), ('Topaz Lake', 'LOCATION'), ('Monitor Pass Area', 'LOCATION'), ('Fremont Lake', 'LOCATION'), ('Lovell Canyon', 'LOCATION'), ('Jacks Valley Rd', 'LOCATION'), ('Mud Lake', 'LOCATION'), ('Boomtown', 'LOCATION'), ('Huffaker', 'PERSON'), ('Buckeye Campground', 'LOCATION'), ('Fremont Lake Fire', 'LOCATION'), ('Humboldt-Toiyabe National Forest', 'LOCATION'), (""Devil 's Gate Pass"", 'LOCATION'), ('Reno', 'PERSON'), ('Bridgeport', 'LOCATION'), ('Woodfords', 'LOCATION'), ('Ruby Mountain', 'LOCATION')"
May Fire,"('Forest Service', 'ORGANIZATION'), ('Brown County', 'LOCATION'), ('Texas', 'LOCATION')"
Old Lake Fire,"('Old Lake', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Young County', 'LOCATION')"
Campbell Fire,"('Campbell Rd', 'ORGANIZATION'), ('Olney Volunteer Fire Department', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Campbell', 'ORGANIZATION'), ('Young County', 'LOCATION'), ('Olney', 'LOCATION')"
Smelter Fire ,"('Amarillo', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Potter', 'PERSON'), ('Texas', 'LOCATION'), ('Potter county', 'LOCATION')"
2022 Humboldt-Toiyabe Prescribed Fire,"('Burns', 'PERSON'), (""Forest 's Facebook"", 'ORGANIZATION'), ('Humboldt-Toiyabe National Forest', 'LOCATION'), ('Humboldt-Toiyabe NF Facebook', 'ORGANIZATION')"
Geese Fire,"('Lampasas County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Lampasas', 'LOCATION'), ('Texas', 'LOCATION')"
Bonita,
Eastern Fire ,"('Amarillo', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Randall County', 'LOCATION'), ('Texas', 'LOCATION')"
Indian School Rd Fire,"('Montague County', 'LOCATION'), ('Montague VFD', 'ORGANIZATION')"
Cleveland RX Burning 2021,"('Old County Road', 'LOCATION'), ('Cleveland National Forest', 'ORGANIZATION'), ('Los Huecos Road', 'LOCATION'), ('Buckman Springs Road', 'LOCATION'), ('El Cariso', 'LOCATION'), ('Chico', 'PERSON'), ('Silverado', 'PERSON'), ('Thing Valley', 'LOCATION'), ('Lake Morena.Residents', 'LOCATION'), ('Rancho Capistrano', 'LOCATION'), ('Lake Morena', 'LOCATION'), ('Mount Laguna', 'LOCATION'), ('Corona', 'PERSON'), ('Long Canyon', 'LOCATION'), ('Lake Morena', 'PERSON'), ('Escondido Ravine', 'ORGANIZATION'), ('Palomar Mountain', 'LOCATION')"
7D County Line Fire,"('Forest Service', 'ORGANIZATION'), ('Gusty', 'LOCATION'), ('Texas', 'LOCATION'), ('Sterling City', 'LOCATION'), ('Tom Green County', 'LOCATION')"
KRRD 2021 Prescribed Fire,"('Forest Service', 'ORGANIZATION'), ('Sequoia National Forest', 'ORGANIZATION'), ('Shirley Meadow', 'PERSON'), ('Alta Sierra', 'LOCATION'), ('San Joaquin County', 'LOCATION'), ('Breckenridge', 'LOCATION'), ('Squirrel Meadows', 'ORGANIZATION'), ('Havilah Work Center', 'ORGANIZATION'), ('Black Mountain Saddle', 'LOCATION'), ('Shirley Meadows', 'PERSON'), ('Eastern Mojave', 'ORGANIZATION'), ('John Lange', 'PERSON'), ('Shirley Loop Road', 'LOCATION'), ('Burns', 'PERSON'), ('Greenhorn', 'LOCATION'), ('Kern River Ranger District', 'LOCATION'), ('Penny Pines', 'LOCATION'), ('Isabella Lake', 'LOCATION'), ('Kern River', 'LOCATION')"
Schultz Unit 4 ,"('Meduna Rd', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Bastrop county', 'LOCATION'), ('Smithville', 'LOCATION'), ('Schultz Unit', 'ORGANIZATION')"
Black Rd Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Clay County', 'LOCATION')"
Daphne Prairie Fire,"('Forest Service', 'ORGANIZATION'), ('Franklin County', 'LOCATION')"
Bent Twig,"('Forest Service', 'ORGANIZATION'), ('Shackelford County', 'LOCATION')"
3210 Fire,"('Lampasas County', 'LOCATION'), ('Texas', 'LOCATION')"
Sharp Fire,"('Childress Fire Department', 'ORGANIZATION'), ('Unified Command', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION')"
WDRD Prescribed Burning,"('Forest', 'ORGANIZATION'), ('Giants', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Ranger Eric LaPrice', 'PERSON')"
Payette NF 2021 Fall Prescribed Fire,"('IdahoMontana Airshed Group', 'ORGANIZATION'), ('Bald Hill', 'LOCATION'), ('Four Mile', 'LOCATION'), ('New Meadows', 'LOCATION'), ('Mill Creek-Council Mountain', 'LOCATION'), ('Weiser Ranger District', 'ORGANIZATION'), ('Krassel Work Center', 'ORGANIZATION'), ('McCall', 'PERSON'), ('Payette National Forest', 'ORGANIZATION'), ('New Meadows Ranger District', 'ORGANIZATION'), ('National Weather Service', 'ORGANIZATION'), ('South Fork of the Salmon River', 'LOCATION'), ('Tamarack', 'LOCATION'), ('McCall Ranger District', 'ORGANIZATION'), ('Council Ranger District', 'ORGANIZATION'), ('Brundage-Bear Basin', 'LOCATION'), ('Krassel Ranger District', 'ORGANIZATION'), ('Boulder Creek', 'LOCATION'), ('Idaho Department of Environmental Quality', 'ORGANIZATION'), ('Council', 'ORGANIZATION'), ('Robinson', 'LOCATION'), ('Patrick Schon', 'PERSON'), ('Weiser River', 'LOCATION'), ('Weiser', 'PERSON')"
McKenzie Ranch,"('Jeremy Dorsey', 'PERSON'), ('California Highway Patrol', 'ORGANIZATION'), ('Sequoia National Forest', 'ORGANIZATION'), ('CalFire', 'ORGANIZATION'), ('Caltrans', 'ORGANIZATION'), ('Dunlap', 'PERSON'), ('Terra Fuego Resource Foundation Inc.', 'ORGANIZATION')"
202 Fire,"('Bee County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Beeville', 'LOCATION')"
Waco Wetlands Prescribed Fire,"('N. River Crossing', 'LOCATION'), ('Eichelberger Crossing Road', 'LOCATION'), ('Waco', 'LOCATION'), ('TFS Facebook', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Waco Wetlands', 'LOCATION'), ('TX', 'LOCATION'), ('Forest Service Facebook', 'ORGANIZATION'), ('China Spring', 'LOCATION')"
Big Rocks Fire,"('Nev', 'LOCATION'), ('North Pahroc Range', 'LOCATION'), ('Hiko', 'LOCATION')"
Jara Chinas Fire,"('Hidalgo County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Jara Chinas Rd', 'PERSON'), ('Texas', 'LOCATION'), ('La Joya', 'LOCATION')"
County Road 2800 Fire,"('Newton County', 'LOCATION'), ('Burkeville ( Azalea Canyon Area', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION')"
Butterfly Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Falfurrias', 'LOCATION'), ('Brooks County', 'LOCATION'), ('South Texas', 'LOCATION')"
La Pierta Fire,"('La Pierta', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('La Rosita', 'LOCATION'), ('Starr County', 'LOCATION'), ('South Texas', 'LOCATION')"
Butterfly 2 Fire,"('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Falfurrias', 'LOCATION'), ('Brooks County', 'LOCATION'), ('South Texas', 'LOCATION')"
King Fire,"('South Texas', 'LOCATION'), ('Encino', 'LOCATION'), ('Brooks County', 'LOCATION')"
Middle Mountain Prescribed Burn,"('Julie Fosbender', 'PERSON'), ('Pocahontas County', 'LOCATION'), ('Minnehaha Springs', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Monongahela National Forest', 'ORGANIZATION'), ('Middle Mountain', 'LOCATION'), ('Marlinton', 'LOCATION')"
Baffin Fire,"('Sarita', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Kenedy County', 'LOCATION'), ('Texas', 'LOCATION')"
Sandhill Fire,"('Winkler County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Kermit', 'LOCATION'), ('Texas', 'LOCATION')"
Caddo Mounds Prescribed Fire,"('United States Forest Service', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('TX', 'LOCATION'), ('Caddo Mounds Historic Site', 'ORGANIZATION')"
Bitterroot Spring RX Fire 2021,"('Trapper Creek', 'LOCATION'), ('Pierce Creek', 'LOCATION'), ('Cameron Blue', 'ORGANIZATION'), ('Montana', 'LOCATION'), ('Guide Creek', 'LOCATION'), ('Lloyd Creek School', 'ORGANIZATION'), ('Baker Creek', 'LOCATION'), ('Halford Creek', 'LOCATION'), ('Stevensville', 'LOCATION'), ('Little Tin Cup & McCoy Creeks', 'ORGANIZATION'), ('Little West Fork', 'LOCATION'), ('Bass Creek Recreation Area', 'ORGANIZATION'), ('Middle East Fork', 'LOCATION'), ('Waddell Units', 'ORGANIZATION'), ('Larry Bass Units', 'PERSON'), ('Nez Perce Fork & West Fork Rivers', 'LOCATION'), ('Sweeney Creek Units', 'LOCATION'), ('Florence', 'LOCATION'), ('Sapphire Mountains', 'LOCATION'), ('Darby', 'PERSON'), ('Forest Road', 'LOCATION'), ('East Fork', 'LOCATION'), ('Boulder Creek', 'LOCATION'), ('Lower West Fork Units', 'LOCATION'), ('Tolan', 'LOCATION'), ('Bitterroot National Forest', 'ORGANIZATION')"
Ramshorn Prescribed Burn,"('Julie Fosbender', 'PERSON'), ('Pocahontas County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Monongahela National Forest', 'ORGANIZATION'), ('Green Bank', 'ORGANIZATION')"
Glass Canyon Fire,"('Terrell County', 'LOCATION'), ('Sanderson', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION')"
244 Fire,"('Mount Rushmore National Memorial', 'ORGANIZATION'), ('Rushmore National Memorial', 'ORGANIZATION'), ('US', 'LOCATION'), ('Eric Allen', 'PERSON'), ('Iron Mountain Road', 'LOCATION')"
Schroeder Fire,"('Cleghorn Canyon', 'LOCATION'), ('Rapid City', 'LOCATION'), ('South Dakota', 'LOCATION'), ('South Dakota National Guard', 'ORGANIZATION'), ('Rocky Mountain Area Blue Team', 'ORGANIZATION'), ('Heavy Air Tankers', 'ORGANIZATION')"
Tecolote Fire,"('Raymondville', 'LOCATION'), ('Alice', 'LOCATION'), ('Hidalgo County', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('US', 'LOCATION'), ('Wildlife Service', 'ORGANIZATION')"
Elk Fire,"('Jackson IHC', 'ORGANIZATION'), ('Jackson', 'PERSON'), ('Karel Williams', 'PERSON'), ('Darren Smith', 'PERSON')"
George Washington Jefferson NFs Rx Fire,"('George Washington', 'PERSON'), ('Jefferson National Forests', 'ORGANIZATION'), ('US Forest Service', 'ORGANIZATION')"
Gila Fire,"('Dateland', 'LOCATION'), ('Gila River', 'LOCATION'), ('Ariz.', 'LOCATION'), ('Yuma', 'LOCATION')"
Big Mountain Prescribed Burn,"('Pendleton County', 'LOCATION'), ('Julie Fosbender', 'PERSON'), ('Forest Service', 'ORGANIZATION'), ('Monongahela National Forest', 'ORGANIZATION'), ('Big Mountain', 'LOCATION'), ('Cherry Grove', 'LOCATION')"
Elk Fire 2021,"('ElkFire', 'ORGANIZATION'), ('Happy Camp', 'LOCATION'), ('Elk Creek', 'LOCATION'), ('Klamath National Forest', 'ORGANIZATION')"
GMUG Prescribed Fire Program,"('Blue Mesa Reservoir', 'LOCATION'), ('Gunnison National Forests Fire Management Officials', 'ORGANIZATION'), ('Pat Medina', 'PERSON'), ('Grand Mesa', 'LOCATION'), ('Mesa County', 'LOCATION'), ('Mesa', 'LOCATION'), ('Sanborn Park', 'LOCATION'), ('East Zone', 'LOCATION'), ('Corey Robinson', 'PERSON'), ('Uncompahgre National Forest', 'LOCATION'), ('Grand Junction', 'LOCATION'), ('Colorado', 'LOCATION'), ('GMUG Forest', 'ORGANIZATION'), ('Nucla', 'LOCATION'), ('Cochetopa Park', 'LOCATION'), ('Norwood', 'LOCATION'), ('CO', 'LOCATION'), ('Ben Sanders', 'PERSON'), ('West Zone', 'LOCATION'), ('Uncompahgre National Forest', 'ORGANIZATION'), ('Delta', 'ORGANIZATION'), ('Gunnison', 'LOCATION'), ('Gunnison National Forests Fire Information', 'ORGANIZATION'), ('Grand Junction CO', 'LOCATION')"
Margo Fire ,"('Dudleyville Fire District', 'LOCATION'), ('Pinal County', 'LOCATION'), ('Arizona Department of Forestry and Fire Management on Facebook', 'ORGANIZATION'), ('Arizona Department of Forestry and Fire Management', 'ORGANIZATION'), ('Dudleyville', 'LOCATION'), ('Arizona Department of Transportation', 'ORGANIZATION'), ('Gila River', 'LOCATION'), (""Pinal County Sheriff 's Office"", 'ORGANIZATION'), ('Arizona Department of Forestry and Fire Management on Twitter', 'ORGANIZATION')"
G22,"('Danny Taylor', 'PERSON'), ('White Mountain Zone', 'LOCATION')"
Horse Pasture,"('North Unit of Theodore Roosevelt National Park.Wintery', 'ORGANIZATION'), ('Inciweb', 'LOCATION'), ('McKenzie Ranger District', 'PERSON'), ('Little Missouri National Grassland', 'ORGANIZATION')"
Pfluger Fire,"('Dove Creek', 'LOCATION'), ('Pecan Creek', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Texas', 'LOCATION'), ('Christoval', 'LOCATION'), ('Wall Volunteer Fire Department', 'ORGANIZATION'), ('Tom Green County', 'LOCATION')"
South Rim 4,"('South Rim', 'LOCATION'), ('Boot Canyon', 'LOCATION'), ('Texas Forest Service', 'ORGANIZATION'), ('Townsend', 'LOCATION'), ('Chisos', 'LOCATION'), ('Emory Peak', 'ORGANIZATION'), ('Chisos Mountains', 'LOCATION'), ('South Rim Fire', 'ORGANIZATION'), ('East Rim', 'LOCATION'), ('Laguna Meadow', 'LOCATION'), ('Chisos Basin', 'LOCATION'), ('Colima', 'LOCATION'), ('Mount Taylor Hotshots', 'ORGANIZATION'), ('Basin', 'LOCATION')"
Cobham Hill,"('Cobham Hill Wildfire', 'ORGANIZATION')"
Cassel Way Fire,"('Bastrop County', 'LOCATION'), ('Texas A & M Forest Service', 'ORGANIZATION'), ('Cassel Way Drive', 'LOCATION'), ('Cassel Way', 'ORGANIZATION'), ('Bastrop', 'LOCATION'), ('TFS', 'ORGANIZATION'), ('Bastrop Texas', 'LOCATION'), ('Bastrop County Complex', 'ORGANIZATION'), ('South', 'LOCATION')"
Thunderbird Rx,"('Mountainair', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('Manzano', 'PERSON'), ('Mountainair Ranger District', 'LOCATION'), ('Cibola National Forest & National Grasslands', 'ORGANIZATION'), ('Belen', 'PERSON'), ('Mountainair Ranger District Continues', 'ORGANIZATION'), ('Rio Communities', 'LOCATION'), ('Cibola National Forest', 'ORGANIZATION'), ('Cibola NF', 'ORGANIZATION'), ('Los Lunas', 'LOCATION'), ('Estancia Valley', 'LOCATION'), ('Mountainair', 'LOCATION'), ('Punta de Agua', 'LOCATION'), ('New Mexico', 'LOCATION'), ('Environmental Public Health Tracking', 'ORGANIZATION'), ('Mountainair Ranger District Office', 'ORGANIZATION'), ('New Mexico Department of Health', 'ORGANIZATION'), ('Cibola Facebook & Twitter', 'ORGANIZATION'), ('Game Road', 'LOCATION'), ('Green Acres', 'ORGANIZATION')"
Tower Fire,"('Sanderson Volunteer Fire Department', 'ORGANIZATION'), ('Terrell County', 'LOCATION'), ('Sanderson', 'LOCATION'), ('Texas A & M Forest Service', 'ORGANIZATION')"
Durfee Bolander Unit 2A,"('Durfee Bolander', 'PERSON'), ('Magdalena', 'LOCATION'), ('Durfee Bolander Unit', 'ORGANIZATION'), ('Cibola National Forest & National Grasslands', 'ORGANIZATION'), ('Magdalena Ranger District Office', 'ORGANIZATION'), ('Magdalena Ranger District', 'LOCATION'), ('Alamo', 'LOCATION')"
Boise NF - 2021 Spring Prescribed Fire,"('Valley County', 'LOCATION'), ('Payette', 'PERSON'), ('Crouch', 'LOCATION'), ('Forest Service', 'ORGANIZATION'), ('Scriver Creek', 'LOCATION'), ('Lowman Ranger DistrictWest Lowman', 'PERSON'), ('Pinney Creek', 'LOCATION'), ('Pioneerville', 'LOCATION'), ('Miller', 'PERSON'), ('Boise National Forest', 'ORGANIZATION'), ('West', 'LOCATION'), ('Southwest Idaho', 'LOCATION'), ('Boise Basin Experimental Forest', 'LOCATION'), ('Smiths Ferry', 'ORGANIZATION'), ('High Valley', 'LOCATION'), ('Boise', 'LOCATION'), ('Silver Creek', 'LOCATION'), ('Idaho', 'LOCATION'), ('NFS', 'ORGANIZATION'), ('Idaho City', 'LOCATION'), ('Lowman', 'PERSON'), ('Placerville', 'LOCATION'), ('Idaho Department of Lands', 'ORGANIZATION')"
Plantation Fire,"('San Augustine', 'LOCATION'), ('Texas', 'LOCATION'), ('TX', 'LOCATION'), ('US', 'LOCATION')"
Prescribed Fire Projects 2021,"('Facebook', 'ORGANIZATION'), ('Forest Service', 'ORGANIZATION'), ('U.S.', 'LOCATION'), ('USFS', 'ORGANIZATION'), ('Malheur National Forest', 'LOCATION')"
Bonito Rock Fire,"('Whiteriver', 'LOCATION'), ('Carlton Goseyun', 'PERSON'), ('AZ', 'LOCATION'), ('White Mountain Zone', 'LOCATION')"
Flag Fire,"('Hualapai Mountain Park', 'LOCATION'), ('Kingman', 'LOCATION'), ('Arizona', 'LOCATION'), ('Hualapai Mountains', 'LOCATION'), ('Lodge', 'LOCATION')"
Squaw Creek Prescribed Fire,"('Squaw Creek Prescribed Fire Contact Information', 'ORGANIZATION'), ('U.S. Forest Service-Rio Grande National Forest', 'ORGANIZATION'), ('Rio Grande National Forest', 'LOCATION'), ('US Forest Service', 'ORGANIZATION'), ('Saguache', 'LOCATION'), ('Squaw Creek', 'LOCATION'), ('BLM Colorado Fire Facebook', 'ORGANIZATION')"
Three Rivers Fire,"('Lincoln National Forest', 'ORGANIZATION'), ('Glencoe Volunteer Fire Department', 'ORGANIZATION'), ('Capitan Volunteer Fire Department', 'ORGANIZATION'), ('USDA Forest Service', 'ORGANIZATION'), ('Ruidoso Fire Department', 'ORGANIZATION'), ('Lincoln Volunteer Fire Department', 'ORGANIZATION'), ('Nogal Volunteer Fire Department', 'ORGANIZATION')"
Thumb Flat Wildfire,"('Williams Ranger District', 'ORGANIZATION')"
Maggie Fire,"('Black Canyon City', 'LOCATION')"
Owens Fire ,"('Short Canyon', 'LOCATION')"
Durfee Bolander Unit 10 RX Burn,"('Durfee Bolander', 'PERSON'), ('Ifire', 'ORGANIZATION'), ('Magdalena Ranger District', 'LOCATION'), ('Magdalena', 'LOCATION'), ('Bolander', 'PERSON'), ('Cibola National Forest & National Grasslands', 'ORGANIZATION'), ('Durfee', 'PERSON'), ('Alamo', 'LOCATION')"
Copperton RX Burn,
Hill Fire,"('Superior National Forest', 'ORGANIZATION'), ('Kangas Unit', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Kangas', 'ORGANIZATION'), ('California', 'LOCATION'), ('Missouri', 'LOCATION'), ('Utah', 'LOCATION'), ('Ely', 'PERSON')"
Mesa Poleo/Cordovas Prescribed Burn,"('Youngsville', 'LOCATION'), ('New Mexico', 'LOCATION'), ('Cordovas', 'ORGANIZATION'), ('Gallina', 'LOCATION'), ('Mesa de Poleo', 'ORGANIZATION')"
Copper Canyon Fire,"('ADOT', 'ORGANIZATION'), ('Copper Canyon Fire', 'ORGANIZATION'), ('Show Low', 'PERSON'), ('website.Arizona Department of Forestry and Fire Management on Facebook', 'ORGANIZATION'), ('US', 'LOCATION'), ('Arizona Department of Transportation', 'ORGANIZATION'), ('www.facebook.comarizonastateforestryArizona Department of Forestry', 'ORGANIZATION'), ('Gila County', 'LOCATION')"
Kangas Stewardship Prescribed Fire,"('Superior National Forest', 'ORGANIZATION'), ('Kangas Unit', 'ORGANIZATION'), ('Colorado', 'LOCATION'), ('Kangas', 'ORGANIZATION'), ('California', 'LOCATION'), ('Missouri', 'LOCATION'), ('Utah', 'LOCATION'), ('Ely', 'PERSON')"
Tussock Fire,"('Southwest Type', 'ORGANIZATION'), ('Yavapai County', 'LOCATION'), ('Dave Bales', 'PERSON'), ('Bureau of Land Management', 'ORGANIZATION'), ('FacebookYavapai County Sheriff - FacebookBLM Arizona - FacebookPrescott National Forest - FacebookALERTS - Yavapai County Emergency NotificationsArizona READY-SET-GOADEQ Wildfire Smoke ForecastsNational', 'ORGANIZATION')"
Gila River Fire,
Dry Fire,"('Piute Mountain', 'LOCATION'), ('Porterville', 'LOCATION'), ('Sequoia National Forest', 'ORGANIZATION')"
Lava Fields Prescribed Fire,"('Continental', 'ORGANIZATION'), ('El Malpais', 'LOCATION'), ('El Calderon Road', 'LOCATION'), ('El Malpais National Monument', 'LOCATION'), ('El Calderon', 'LOCATION'), ('National Park Service', 'ORGANIZATION')"
Cuervito Fire,"('Inciweb', 'LOCATION'), ('Tecolote', 'LOCATION'), ('Santa Fe', 'LOCATION'), ('San Juan', 'LOCATION'), ('Las Vegas', 'LOCATION'), ('La Cueva', 'ORGANIZATION'), ('Santa Fe National Forest', 'ORGANIZATION'), ('Pecos', 'LOCATION'), ('Pecos National Historical Park', 'ORGANIZATION'), ('South San Ysidro', 'LOCATION'), ('San Jose', 'LOCATION'), ('IMT', 'ORGANIZATION'), ('New Mexico', 'LOCATION'), ('Environmental Public Health Tracking', 'ORGANIZATION'), ('Rowe', 'PERSON'), ('Santa Fe National Forest Facebook', 'ORGANIZATION'), ('Barillas Lookout', 'LOCATION'), ('New Mexico Department of Health', 'ORGANIZATION'), ('Douglas', 'PERSON'), ('San Geronimo', 'LOCATION'), ('Bernal', 'PERSON'), ('Forest Stewards Guild', 'ORGANIZATION'), ('Anton Chico', 'PERSON'), ('Pablo', 'PERSON'), ('Serafina', 'PERSON'), ('Mineral Hill', 'ORGANIZATION'), ('Ribera', 'PERSON'), ('Soham', 'PERSON'), ('Ilfeld', 'LOCATION')"
Three Rivers Post-Fire BAER,"('BAER', 'ORGANIZATION'), ('BAER', 'PERSON'), ('Wildfire Recovery Fire Suppression Repair', 'ORGANIZATION')"
Osborn Road Fire,"('Superior National Forest', 'ORGANIZATION'), ('Evergreen Volunteer Fire Department', 'ORGANIZATION'), ('Kinney-Great Scott Volunteer Fire Department', 'ORGANIZATION')"
Doagy Fire,"('Doagy Canyon', 'LOCATION'), ('Black Range Ranger District', 'LOCATION'), ('Doagy Well', 'LOCATION'), ('Gila National Forest', 'ORGANIZATION')"
Shasta-Trinity NF Lightning (May 2021),"('Logan', 'LOCATION'), ('Shasta-Trinity NF', 'ORGANIZATION'), ('Trinity Lake', 'ORGANIZATION'), ('Shasta McCloud Management Unit', 'ORGANIZATION'), ('Linton', 'PERSON'), ('Manzanita Ridge', 'LOCATION'), ('Helena', 'LOCATION'), ('Shasta Lake District Brock', 'LOCATION')"
Elk,"('Stanley Lake', 'LOCATION'), ('North West of Stanley Idaho', 'LOCATION'), ('Brush', 'LOCATION')"
Warsaw Fire,"('Nogales Ranger District', 'LOCATION'), ('Coronado National Forest', 'ORGANIZATION'), ('Warsaw Fire', 'ORGANIZATION'), ('Harrison', 'PERSON')"
Bezhik Fire,"('Tower', 'LOCATION'), ('LaCroix Ranger District of the Superior National Forest', 'ORGANIZATION'), ('Big Moose Lake', 'LOCATION'), ('Bezhik Lake', 'LOCATION'), ('Cummings Lake', 'LOCATION')"
Four Mile,"('Inciweb', 'LOCATION'), ('Yellowpine', 'LOCATION'), ('South Fork of the Salmon River', 'LOCATION'), ('Reed Ranch Airstrip', 'LOCATION'), ('Krassel District Ranger', 'LOCATION'), ('David Hogen', 'PERSON')"
Dog Fire,
Johnson Fire,
Drummond Fire,"('NFS', 'ORGANIZATION')"
